emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-1010,Yes,Ex-Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,2,622,14,3,39,2,1,2,3743,10074,1,24,4,4,80,1,5,1,4,2,0,2
STAFF-1011,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,1,853,1,3,96,3,2,1,4148,11275,1,12,3,3,80,1,4,3,4,3,0,3
STAFF-1012,No,Current Employees,Under 25,R&D,Research Scientist,Non-Travel,No,2,287,5,2,73,3,1,4,1051,13493,1,15,3,4,80,0,0,3,0,0,0,0
STAFF-1013,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,2,1441,17,3,56,3,3,3,10739,13943,8,11,3,3,80,1,22,3,10,7,0,8
STAFF-1014,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,Yes,3,583,25,3,57,3,3,3,10388,6975,1,11,3,3,80,1,16,2,16,10,10,1
STAFF-1015,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,Yes,4,153,8,2,73,4,3,1,11416,17802,0,12,3,3,80,3,9,2,8,7,1,7
STAFF-1016,Yes,Ex-Employees,Under 25,R&D,Research Scientist,Travel_Rarely,Yes,2,1097,11,4,98,2,1,1,2600,18275,1,15,3,1,80,0,1,3,1,0,0,0
STAFF-1017,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,3,109,5,2,60,3,1,2,2422,25725,0,17,3,1,80,0,4,3,3,2,1,2
STAFF-1018,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,1066,2,4,32,4,2,4,5472,3334,1,12,3,2,80,0,8,3,8,7,1,3
STAFF-1019,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,3,217,8,2,94,1,1,1,2451,6881,1,15,3,1,80,1,4,2,4,3,1,1
STAFF-1022,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,0,277,6,1,97,2,2,3,4240,13119,2,13,3,4,80,0,19,3,2,2,2,2
STAFF-1024,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,3,1355,4,3,78,2,3,3,10999,22245,7,14,3,2,80,0,27,3,15,11,4,8
STAFF-1025,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,6,549,7,4,42,3,2,3,5003,23371,6,14,3,2,80,0,8,3,2,2,2,1
STAFF-1026,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,466,1,4,65,2,4,4,12742,7060,1,16,3,3,80,1,21,3,21,6,11,8
STAFF-1027,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,1055,2,1,47,3,2,4,4227,4658,0,18,3,2,80,1,4,3,3,2,2,2
STAFF-1028,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,4,802,10,2,45,3,1,4,3917,9541,1,20,4,1,80,1,3,2,3,2,1,2
STAFF-1029,No,Current Employees,35 - 44,Sales,Manager,Travel_Rarely,No,3,265,5,4,90,3,5,3,18303,7770,6,13,3,2,80,0,21,4,1,0,0,0
STAFF-1030,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,5,804,9,1,64,3,1,4,2380,20165,4,18,3,2,80,0,8,3,1,0,0,0
STAFF-1032,No,Current Employees,Over 55,R&D,Manufacturing Director,Travel_Rarely,Yes,4,715,2,3,69,2,4,4,13726,21829,3,13,3,1,80,0,30,3,5,3,4,3
STAFF-1033,Yes,Ex-Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,1141,11,1,61,1,2,2,4777,14382,5,15,3,1,80,0,15,1,1,0,0,0
STAFF-1034,No,Current Employees,Over 55,R&D,Healthcare Representative,Travel_Frequently,Yes,3,135,18,3,62,3,2,2,6385,12992,3,14,3,4,80,2,17,3,8,7,6,7
STAFF-1035,No,Current Employees,35 - 44,R&D,Research Director,Non-Travel,No,3,247,7,2,55,1,5,3,19973,20284,1,22,4,2,80,2,21,3,21,16,5,10
STAFF-1036,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,1,1035,3,2,42,3,2,4,6861,4981,8,12,3,3,80,0,19,3,1,0,0,0
STAFF-1037,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,6,265,29,2,79,1,2,1,4969,21813,8,18,3,4,80,0,7,3,2,2,2,2
STAFF-1038,Yes,Ex-Employees,45 - 54,Sales,Manager,Travel_Rarely,No,3,266,2,1,57,1,5,4,19845,25846,1,15,3,4,80,1,33,3,32,14,6,9
STAFF-1039,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,2,1448,28,4,53,4,4,4,13320,11737,3,18,3,3,80,1,23,3,12,11,11,11
STAFF-1040,No,Current Employees,45 - 54,Sales,Sales Executive,Non-Travel,No,3,145,1,4,95,3,2,3,6347,24920,0,12,3,1,80,1,19,3,18,7,0,13
STAFF-1042,Yes,Ex-Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,1,885,16,3,43,4,1,1,2743,8269,1,16,3,3,80,0,18,3,17,13,15,14
STAFF-1043,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,Yes,2,945,22,4,82,3,3,1,10880,5083,1,13,3,3,80,0,21,3,21,6,2,8
STAFF-1044,No,Current Employees,25 - 34,Sales,Sales Representative,Non-Travel,No,2,1038,8,2,88,2,1,4,2342,21437,0,19,3,4,80,0,3,2,2,2,2,2
STAFF-1045,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,4,1234,11,4,90,3,4,4,17650,5404,3,13,3,2,80,1,26,4,9,3,1,1
STAFF-1046,No,Current Employees,25 - 34,R&D,Laboratory Technician,Non-Travel,No,2,1109,29,4,69,3,1,3,4025,11135,9,12,3,2,80,0,10,3,8,7,7,7
STAFF-1047,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,216,1,2,75,4,2,4,9725,12278,0,11,3,4,80,1,16,2,15,1,0,9
STAFF-1048,No,Current Employees,Over 55,Sales,Manager,Travel_Rarely,Yes,1,1089,1,2,66,3,3,4,11904,11038,3,14,3,3,80,1,14,1,6,4,0,4
STAFF-1049,No,Current Employees,45 - 54,HR,Human Resources,Travel_Rarely,No,3,788,24,2,36,3,1,2,2177,8318,1,16,3,1,80,0,6,3,6,3,0,4
STAFF-1050,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,No,2,124,2,3,38,2,3,2,7525,23537,2,12,3,1,80,1,30,3,15,7,6,12
STAFF-1052,Yes,Ex-Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,660,15,1,81,3,2,3,4834,7858,7,14,3,2,80,1,9,2,1,0,0,0
STAFF-1053,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,2,342,2,1,57,3,1,1,2042,15346,6,14,3,2,80,1,6,3,3,2,1,2
STAFF-1055,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,Yes,2,1333,10,3,87,3,1,3,2220,18410,1,19,3,4,80,1,1,3,1,1,0,0
STAFF-1056,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,5,1144,10,4,74,3,1,2,1052,23384,1,22,4,2,80,0,1,3,1,0,0,0
STAFF-1060,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,No,2,1186,3,3,44,3,1,3,2821,2997,3,16,3,1,80,1,8,3,2,2,2,2
STAFF-1061,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,Yes,2,1464,2,2,62,3,5,3,19237,12853,2,11,3,4,80,1,29,2,8,1,7,7
STAFF-1062,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,3,124,3,4,35,3,2,2,4107,13848,3,15,3,1,80,0,8,2,4,3,0,1
STAFF-1066,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,300,26,3,74,3,2,1,8396,22217,1,14,3,2,80,1,8,2,7,7,7,5
STAFF-1068,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,5,921,1,1,66,2,1,3,2007,25265,1,13,3,3,80,2,5,3,5,3,1,3
STAFF-1069,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,0,430,1,4,40,3,5,4,19627,21445,9,17,3,4,80,2,23,3,2,2,2,2
STAFF-1070,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,4,1082,2,3,41,2,3,3,10686,8392,6,11,3,2,80,1,13,3,9,4,7,0
STAFF-1071,No,Current Employees,Over 55,R&D,Research Scientist,Travel_Frequently,No,4,1240,9,1,63,3,1,3,2942,12154,2,19,3,2,80,1,18,3,5,4,0,3
STAFF-1073,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,796,12,4,51,2,3,4,8858,15669,0,11,3,2,80,0,15,2,14,8,7,8
STAFF-1074,No,Current Employees,Over 55,R&D,Manager,Non-Travel,No,3,444,2,3,40,2,4,1,16756,17323,7,15,3,2,80,0,31,4,9,7,6,2
STAFF-1076,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,5,415,25,3,79,2,3,4,10798,5268,5,13,3,3,80,1,18,3,1,0,0,0
STAFF-1077,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Frequently,Yes,3,769,9,4,54,3,1,4,2323,17205,1,14,3,2,80,0,2,3,2,2,0,2
STAFF-1079,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,6,1334,10,3,36,2,1,1,1416,17258,1,13,3,1,80,0,1,2,1,0,1,0
STAFF-1080,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,Yes,2,1003,8,4,74,2,2,1,4615,21029,8,23,4,1,80,3,19,3,16,13,1,7
STAFF-1081,Yes,Ex-Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,Yes,2,1323,4,1,34,3,1,3,2461,10332,9,12,3,3,80,3,18,4,10,0,2,7
STAFF-1082,Yes,Ex-Employees,25 - 34,R&D,Healthcare Representative,Non-Travel,No,2,1366,24,2,72,2,3,1,8722,12355,1,12,3,1,80,0,10,2,10,7,1,9
STAFF-1083,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,192,1,1,59,2,1,1,3955,11141,1,16,3,1,80,2,6,3,5,3,1,3
STAFF-1084,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,1,1176,20,3,85,3,2,1,9957,9096,0,15,3,3,80,1,7,2,6,2,0,2
STAFF-1085,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,509,7,2,43,4,1,3,3376,18863,1,13,3,3,80,0,10,3,10,6,0,8
STAFF-1088,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,4,330,17,3,65,2,3,3,8823,24608,0,18,3,1,80,1,20,2,19,9,1,9
STAFF-1092,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,6,1492,20,1,61,3,3,4,10322,26542,4,20,4,4,80,1,14,3,11,10,11,1
STAFF-1094,No,Current Employees,25 - 34,R&D,Laboratory Technician,Non-Travel,No,4,1277,8,1,87,1,1,3,4621,5869,1,19,3,4,80,3,3,3,3,2,1,2
STAFF-1096,No,Current Employees,Over 55,R&D,Manufacturing Director,Travel_Frequently,No,4,1091,2,4,65,3,3,2,10976,15813,3,18,3,2,80,1,23,3,3,2,1,2
STAFF-1097,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,857,10,3,59,3,2,3,3660,7909,3,13,3,4,80,0,10,4,8,7,1,7
STAFF-1098,Yes,Ex-Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,1,1376,1,2,91,2,3,1,10482,2326,9,14,3,4,80,1,24,3,20,6,3,6
STAFF-1099,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,2,654,5,4,34,2,3,4,7119,21214,4,15,3,3,80,1,9,3,3,2,1,2
STAFF-1100,Yes,Ex-Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,2,1204,4,4,86,3,3,1,9582,10333,0,22,4,1,80,0,9,3,8,7,4,7
STAFF-1101,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,4,827,29,1,54,2,2,3,4508,3129,1,22,4,2,80,0,14,3,13,7,3,8
STAFF-1102,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,5,895,15,1,50,3,1,3,2207,22482,1,16,3,4,80,1,4,2,4,2,2,2
STAFF-1103,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,No,1,618,3,1,45,3,2,4,7756,22266,0,17,3,3,80,0,7,2,6,2,0,4
STAFF-1105,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,5,309,10,4,88,2,2,4,6694,24223,2,14,3,3,80,3,8,3,1,0,0,0
STAFF-1106,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1219,4,4,32,3,1,4,3691,4605,1,15,3,2,80,1,7,4,7,7,5,6
STAFF-1107,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,0,1330,21,1,37,3,1,3,2377,19373,1,20,4,3,80,1,1,2,1,1,0,0
STAFF-1108,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,0,1017,25,1,55,2,1,2,2313,2993,4,20,4,2,80,0,5,3,2,2,2,2
STAFF-1109,No,Current Employees,35 - 44,R&D,Manager,Travel_Rarely,No,3,469,2,4,35,3,4,1,17665,14399,0,17,3,4,80,1,23,3,22,6,13,7
STAFF-1111,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,2,1009,1,1,45,2,1,2,2596,7160,1,15,3,1,80,2,1,3,1,0,0,0
STAFF-1113,Yes,Ex-Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,Yes,4,959,1,4,81,3,2,3,4728,17251,3,14,3,4,80,0,5,3,0,0,0,0
STAFF-1114,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,970,7,4,30,3,2,2,4302,13401,0,17,3,3,80,1,4,3,3,2,0,2
STAFF-1115,No,Current Employees,25 - 34,R&D,Research Scientist,Non-Travel,No,2,697,3,3,40,2,1,4,2979,22478,3,17,3,4,80,3,6,3,0,0,0,0
STAFF-1116,No,Current Employees,45 - 54,R&D,Manager,Non-Travel,No,3,1262,1,1,35,4,4,4,16885,16154,2,22,4,3,80,0,27,2,5,4,2,1
STAFF-1117,No,Current Employees,45 - 54,Sales,Sales Executive,Non-Travel,No,2,1050,9,2,65,2,2,3,5593,17970,1,13,3,4,80,1,15,3,15,10,4,12
STAFF-1118,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Rarely,No,4,994,7,2,87,3,3,2,10445,15322,7,19,3,4,80,0,18,3,8,6,4,0
STAFF-1119,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,2,770,10,3,73,2,3,3,8740,5569,0,14,3,2,80,2,9,3,8,7,2,7
STAFF-1120,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,1,1107,28,3,93,3,1,4,2514,26968,4,22,4,1,80,1,11,3,7,5,1,7
STAFF-1121,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,3,950,3,4,93,3,3,2,7655,8039,0,17,3,2,80,3,10,2,9,7,1,7
STAFF-1124,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,3,406,3,1,52,3,4,3,17465,15596,3,12,3,4,80,1,23,3,12,9,4,9
STAFF-1125,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,130,2,4,32,3,3,2,7351,20619,7,16,3,3,80,0,10,3,1,0,0,0
STAFF-1126,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,No,1,1082,27,3,83,3,3,1,10820,11535,8,11,3,3,80,1,18,3,8,7,0,1
STAFF-1127,Yes,Ex-Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,4,203,2,1,84,3,4,4,12169,13547,7,11,3,4,80,3,21,3,18,7,11,5
STAFF-1128,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,2,1308,14,3,44,2,5,3,19626,17544,1,14,3,1,80,0,21,4,20,7,4,9
STAFF-1131,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,Yes,6,984,1,4,70,2,1,2,2070,25326,1,11,3,3,80,0,2,4,2,2,2,2
STAFF-1132,No,Current Employees,35 - 44,R&D,Laboratory Technician,Non-Travel,No,2,439,9,3,70,3,2,2,6782,8770,9,15,3,3,80,0,9,2,5,4,0,3
STAFF-1133,No,Current Employees,35 - 44,R&D,Manufacturing Director,Non-Travel,No,0,217,18,1,78,3,2,4,7779,23238,2,20,4,1,80,0,18,3,11,9,0,9
STAFF-1135,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Frequently,No,4,793,20,3,67,4,1,4,2791,21981,0,12,3,1,80,1,3,3,2,2,2,2
STAFF-1136,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,1451,2,1,67,2,1,2,3201,19911,0,17,3,1,80,0,6,1,5,3,0,4
STAFF-1137,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,3,1182,11,4,54,3,2,4,4968,18500,1,11,3,4,80,1,5,3,5,2,0,2
STAFF-1138,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,174,8,4,56,2,4,2,13120,11879,6,17,3,2,80,1,22,3,9,8,2,3
STAFF-1140,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,3,1003,2,4,95,3,2,3,4033,15834,2,11,3,4,80,0,5,2,3,2,0,2
STAFF-1143,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,2,490,10,4,61,3,1,2,3291,17940,0,14,3,4,80,2,8,2,7,5,1,1
STAFF-1148,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,188,29,2,56,1,2,4,4272,9558,4,19,3,1,80,0,16,3,1,0,0,0
STAFF-1150,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,Yes,2,718,8,2,79,2,2,4,5056,17689,1,15,3,3,80,1,10,2,10,7,1,2
STAFF-1152,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,2,433,1,3,37,4,1,3,2844,6004,1,13,3,4,80,1,7,4,7,6,5,0
STAFF-1154,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,2,773,6,3,39,2,1,3,2703,22088,1,14,3,4,80,1,3,3,3,1,0,2
STAFF-1156,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Non-Travel,No,0,247,8,3,80,3,1,3,1904,13556,1,12,3,4,80,0,0,3,0,0,0,0
STAFF-1157,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,3,603,9,1,77,3,2,1,8224,18385,0,17,3,1,80,0,6,3,5,2,0,3
STAFF-1158,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,4,167,12,2,46,3,1,4,4766,9051,3,11,3,1,80,1,6,3,1,0,0,0
STAFF-1160,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,5,874,15,3,72,3,1,3,2610,6233,1,12,3,3,80,1,2,2,2,2,2,2
STAFF-1161,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,367,25,3,52,2,2,4,5731,17171,7,13,3,3,80,2,9,3,6,2,1,3
STAFF-1162,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,0,199,6,4,55,2,1,3,2539,7950,1,13,3,3,80,1,4,3,4,2,2,2
STAFF-1163,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,1400,9,2,70,3,2,3,5714,5829,1,20,4,1,80,0,6,2,6,5,1,3
STAFF-1164,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,2,528,8,3,100,3,1,3,4323,7108,1,17,3,2,80,0,6,1,5,4,1,4
STAFF-1165,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,408,23,4,45,2,3,1,7336,11162,1,13,3,1,80,1,11,1,11,8,3,10
STAFF-1166,No,Current Employees,35 - 44,R&D,Research Director,Travel_Frequently,No,3,593,9,2,88,3,3,3,13499,13782,9,17,3,3,80,0,20,2,18,7,2,13
STAFF-1167,Yes,Ex-Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,Yes,2,481,12,3,44,3,4,1,13758,2447,0,12,3,2,80,0,22,2,21,9,13,14
STAFF-1171,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,647,4,2,45,3,2,1,5155,2253,7,13,3,4,80,0,9,4,6,4,1,5
STAFF-1172,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,982,1,4,58,2,1,3,2258,16340,6,12,3,2,80,1,10,3,8,0,1,7
STAFF-1173,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,477,24,4,49,3,1,2,3597,6409,8,22,4,4,80,0,6,3,4,3,1,2
STAFF-1175,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,4,1485,12,3,79,3,1,4,2515,22955,1,11,3,4,80,0,1,2,1,1,0,0
STAFF-1177,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1384,3,1,82,4,1,4,4420,13421,1,22,4,2,80,1,8,3,8,7,0,7
STAFF-1179,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,852,10,3,72,2,2,3,6578,2706,1,18,3,1,80,1,10,3,10,3,1,4
STAFF-1180,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,Yes,3,902,26,3,92,2,2,4,4422,21203,3,13,3,4,80,1,16,1,1,1,0,0
STAFF-1182,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,819,2,3,44,2,3,2,10274,19588,2,18,3,2,80,1,15,4,7,7,6,4
STAFF-1184,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,No,3,669,1,4,97,2,2,1,5343,25755,0,20,4,3,80,0,14,3,13,9,4,9
STAFF-1185,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,2,636,4,4,47,2,1,4,2376,26537,1,13,3,2,80,1,2,4,2,2,2,2
STAFF-1188,Yes,Ex-Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,1372,9,1,85,1,2,3,5346,9489,8,13,3,2,80,0,7,2,4,3,1,3
STAFF-1190,No,Current Employees,25 - 34,Sales,Sales Representative,Non-Travel,No,3,862,2,3,76,3,1,1,2827,14947,1,12,3,3,80,3,1,3,1,0,0,0
STAFF-1191,No,Current Employees,Over 55,R&D,Manager,Travel_Rarely,No,2,718,4,4,92,3,5,1,19943,18575,4,13,3,4,80,1,28,3,5,2,4,2
STAFF-1192,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,5,1401,6,2,54,3,1,4,3131,26342,1,13,3,1,80,1,10,3,10,8,0,8
STAFF-1193,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,4,645,9,3,54,3,1,1,2552,7172,1,25,4,3,80,0,1,3,1,1,0,0
STAFF-1195,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,Yes,2,1457,7,1,83,3,1,3,4477,20100,4,19,3,3,80,1,7,2,3,2,0,2
STAFF-1196,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,977,1,4,56,2,2,4,6474,9961,1,13,3,2,80,1,14,2,14,8,3,11
STAFF-1198,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,805,3,1,87,2,1,3,3033,12828,1,12,3,1,80,0,2,2,2,2,1,2
STAFF-1200,Yes,Ex-Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,4,1097,10,3,96,3,1,3,2936,10826,1,11,3,3,80,0,6,3,6,4,0,2
STAFF-1201,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,6,1223,7,4,50,3,5,3,18606,18640,3,18,3,2,80,1,26,3,7,7,4,7
STAFF-1202,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,2,942,15,2,69,1,1,4,2168,26933,0,18,3,1,80,1,6,2,5,4,1,3
STAFF-1203,Yes,Ex-Employees,Under 25,R&D,Research Scientist,Travel_Frequently,Yes,5,1256,3,3,48,2,1,4,2853,4223,0,11,3,2,80,1,1,3,0,0,0,0
STAFF-1204,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,2,1402,2,3,69,3,4,1,17048,24097,8,23,4,1,80,0,28,3,26,15,15,9
STAFF-1206,No,Current Employees,35 - 44,R&D,Research Scientist,Non-Travel,No,3,111,17,4,74,1,1,3,2290,4279,2,13,3,4,80,0,6,3,0,0,0,0
STAFF-1207,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,No,2,147,2,2,99,3,1,3,3600,8429,1,13,3,4,80,1,5,3,5,4,1,4
STAFF-1210,Yes,Ex-Employees,35 - 44,R&D,Research Scientist,Non-Travel,No,2,906,5,1,95,2,1,1,2107,20293,6,17,3,1,80,1,5,1,1,0,0,0
STAFF-1211,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,1329,29,3,61,3,2,1,4115,13192,8,19,3,3,80,3,8,3,4,3,0,3
STAFF-1212,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,2,1184,2,2,62,3,2,2,4327,25440,5,12,3,4,80,3,5,3,0,0,0,0
STAFF-1215,No,Current Employees,45 - 54,R&D,Manager,Travel_Frequently,No,3,1421,2,4,30,3,4,1,17856,9490,2,22,4,3,80,1,32,3,2,2,2,2
STAFF-1216,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1179,19,4,78,2,1,1,3196,12449,1,12,3,3,80,3,6,3,6,5,3,3
STAFF-1217,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,2,1450,15,4,52,3,5,2,19081,10849,5,11,3,1,80,1,25,3,4,2,0,3
STAFF-1218,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,2,1361,17,3,94,3,2,1,8966,21026,3,15,3,4,80,3,15,3,7,7,1,7
STAFF-1219,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,3,984,17,4,97,3,1,2,2210,3372,1,13,3,1,80,1,1,1,1,0,0,0
STAFF-1220,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,1146,25,2,82,3,2,3,4539,4905,1,12,3,1,80,1,10,2,10,7,0,1
STAFF-1221,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,4,917,6,3,60,1,1,3,2741,6865,1,14,3,3,80,1,7,3,7,7,1,7
STAFF-1224,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,4,853,7,3,49,3,2,3,3491,11309,1,13,3,1,80,3,10,2,10,7,8,9
